7,0
28,1
11,2
28,3
11,4
43,5
38,6
38,7
31,8
32,9
11,10
43,11
7,12
43,13
28,14
48,15
28,16
37,17
38,18
43,19
7,20
11,21
31,22
38,23
21,24
43,25
11,26
31,27
2,28
11,29
31,30
43,31
11,32
13,33
15,34
43,35
28,36
43,37
11,38
13,39
38,40
11,41
13,42
43,43
11,44
43,45
48,46
38,47
53,48
11,49
21,50
43,51
48,52
31,53
7,54
11,55
37,56
21,57
31,58
11,59
31,0
28,1
49,2
15,3
43,4
38,5
31,6
43,7
38,8
28,9
48,10
43,11
31,12
16,13
48,14
28,15
31,16
11,17
37,18
11,19
31,20
7,21
38,22
11,23
43,24
11,25
43,26
11,27
28,28
7,29
11,30
50,31
53,32
11,33
38,34
13,35
28,36
38,37
11,38
28,39
11,40
15,41
15,42
31,43
37,44
7,45
53,46
48,47
11,48
11,49
11,50
11,51
28,52
43,53
48,54
37,55
11,56
48,57
43,58
28,59
11,0
11,1
28,2
43,3
35,4
43,5
11,6
11,7
56,8
11,9
21,10
11,11
43,12
28,13
11,14
43,15
28,16
11,17
31,18
31,19
48,20
31,21
11,22
38,23
28,24
28,25
28,26
23,27
17,28
56,29
38,30
11,31
43,32
37,33
11,34
17,35
28,36
11,37
43,38
31,39
48,40
28,41
43,42
56,43
21,44
31,45
28,46
11,47
48,48
28,49
37,50
28,51
28,52
15,53
38,54
43,55
31,56
43,57
43,58
43,59
43,0
43,1
38,2
43,3
11,4
43,5
38,6
43,7
43,8
38,9
43,10
43,11
11,12
43,13
11,14
48,15
15,16
58,17
43,18
58,19
43,20
48,21
43,22
11,23
43,24
11,25
11,26
15,27
2,28
11,29
28,30
11,31
11,32
48,33
43,34
11,35
2,36
43,37
38,38
48,39
56,40
43,41
28,42
11,43
38,44
11,45
11,46
28,47
37,48
11,49
31,50
7,51
11,52
7,53
48,54
38,55
11,56
31,57
48,58
28,59
37,0
43,1
43,2
43,3
38,4
11,5
31,6
11,7
28,8
37,9
28,10
38,11
11,12
43,13
43,14
38,15
56,16
11,17
28,18
38,19
48,20
56,21
38,22
11,23
38,24
11,25
48,26
43,27
11,28
11,29
43,30
11,31
43,32
38,33
43,34
31,35
11,36
43,37
29,38
31,39
28,40
43,41
38,42
38,43
28,44
38,45
28,46
28,47
35,48
56,49
31,50
31,51
56,52
31,53
